"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"642382775371239424","","","2015-09-11 17:02:43 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","哈！原來 Apple TV 可以搭配第三方控制器，而且那個預設遙控器真的得搭配「防投擲」的手環...XD （一整個 Wii 上身啊～） http://t.co/pGu89ZQcDj","","","","http://www.apple.com/tv/games-and-more/"
"642381442656309248","642380904325713920","724233","2015-09-11 16:57:25 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@Brecht 看到了，有夠誇張...XD","","","",""
"642378927910989824","","","2015-09-11 16:47:25 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","RT @meteorjs: Learn Meteor online with @Coursera http://t.co/7e12LI0iwX #meteorjs #javascript http://t.co/KN8JN6RW3P","642369330374672384","533884891","2015-09-11 16:09:17 +0000","http://hubs.ly/H0196WL0,http://twitter.com/meteorjs/status/642369330374672384/photo/1,http://hubs.ly/H0196WL0,http://twitter.com/meteorjs/status/642369330374672384/photo/1"
"642374001608658944","","","2015-09-11 16:27:51 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","嚇我一跳！還有在主控台裡 say hello 這招啊？ https://t.co/4xCkixXgzm （與偷看人洗澡被抓到相同感受...） http://t.co/gh11PzZzxS","","","","https://www.coursera.org/specializations/website-development,http://twitter.com/wastemobile/status/642374001608658944/photo/1"
"642372210263330816","642371755001053184","6134752","2015-09-11 16:20:44 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@superbil 感覺很好玩、有發展潛力對吧？可惜我對神奇寶貝沒有愛...XD","","","",""
"642365607556419584","","","2015-09-11 15:54:30 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","任天堂那個與 #ingress 很像的神奇寶貝虛實整合遊戲 #pokemongo，居然還要出藍牙手環，現代人本來連手錶都不戴了，現在一個個加上去…XD http://t.co/k3q4AdO7H7 http://t.co/1gQ56YPmCY","","","","http://bit.ly/1J2ZAM6,http://twitter.com/wastemobile/status/642365607556419584/photo/1"
"642359251071963136","642358764558008320","2087371","2015-09-11 15:29:14 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@iA It seems I have to take a closer look, thank u for ur time.","","","",""
"642358469387907072","642357577859375104","2087371","2015-09-11 15:26:08 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@iA Btw, where is the River flow implement? I love that, u kill it at all???","","","",""
"642357370077581313","642356227792629760","2087371","2015-09-11 15:21:46 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@iA Oh, typo, I mean use Marked 2 to preview.","","","",""
"642357011506597893","642355182555242496","2087371","2015-09-11 15:20:20 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@iA I got ur point. But so rarely saw Chinese typesetting like that. Not everyone can be satisfied, I know. I can Maked it, no big deal.","","","",""
"642354894205116416","642353765341921280","2087371","2015-09-11 15:11:55 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@iA Here is MultiMarkdown Composer preview the same doc. http://t.co/oZ1I8JQfmM","","","","http://twitter.com/wastemobile/status/642354894205116416/photo/1"
"642354293022982144","642349182448214016","2087371","2015-09-11 15:09:32 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@iA I don’t think the first 3 paragraphs is parsed correctly, it just 3 simple p areas. You think there are right?","","","",""
"642353343520620544","642349182448214016","2087371","2015-09-11 15:05:46 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@iA Well, like the left side list, but apart from that, I prefer the Pro version. And new preview…weird… http://t.co/OUJgxkZ72o","","","","http://twitter.com/wastemobile/status/642353343520620544/photo/1"
"642348691043450881","642318432969596929","2087371","2015-09-11 14:47:16 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@iA I bought 1 &amp; Pro, handle different docs at the same time used. Now, it’s a mess cause same folder name. Manually solved but it’s awful.","","","",""
"642308607581679616","","","2015-09-11 12:08:00 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","結果兩個軟體搶一個 iCloud Drive 目錄，原本分得好好的文件，現在一團亂，最後一開就當，糟透了。","","","",""
"642306536325287936","","","2015-09-11 11:59:46 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iA Writer 2 is iA Writer Class, iA Writer Pro now is iA Writer 3, WTF.","","","",""
"642230764680048640","","","2015-09-11 06:58:41 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","RT @yohochang: 帶繫權：通常用於新創公司，指經營績效奇差無比，依然坐領高薪的特殊權力。有只顧建立個人形象，犧牲投資人權益的含義。

例句：看了財報才知道這幾年你都在帶繫權！

http://t.co/dSDYy7aBrs","642230566419431424","7612882","2015-09-11 06:57:53 +0000","http://www.nextmag.com.tw/breaking-news/business/20150911/25896049,http://www.nextmag.com.tw/breaking-news/business/20150911/25896049"
"642226924534689792","642226283120713728","241566755","2015-09-11 06:43:25 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@leapfaith1 網路深，深似海啊…","","","",""
"642218886197149696","","","2015-09-11 06:11:28 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","第一次知道有這家：電書朝代 http://t.co/9Coq4DuXcd #note","","","","http://www.ebookdynasty.net/indexTC.html"
"642214049803952128","642204256670388224","15835313","2015-09-11 05:52:15 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@jimyhuang 感謝，已經有更正了... https://t.co/hDF2RbAlrn","","","","https://twitter.com/wastemobile/status/641973313032425473"
"641977017102036992","641976423889014784","14866363","2015-09-10 14:10:22 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@kakashiliu 感謝啦，不過上次兩個補教老師說到均一時，完全都只提嚴先生啊，應該很多人都這樣以為吧？（結果我還多推了一把...）","","","",""
"641975274033143809","","5582712","2015-09-10 14:03:27 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@kaxing @huar 查核後約莫如此，感謝指正。 https://t.co/hDF2RbAlrn","","","","https://twitter.com/wastemobile/status/641973313032425473"
"641973313032425473","","","2015-09-10 13:55:39 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","由於友人推薦時是用「嚴長壽的均一」字眼，細查後似乎不精準：均一隸屬誠致教育基金會，董事長方新舟遇見創辦公益平台的嚴先生，還加入台東均一中小學任董事（嚴先生是董事長），教育平台的名字也是這樣商借使用的。雖關係良好，但並非嚴先生創辦的。 http://t.co/2EbZAIWRO3","","","","http://twitter.com/wastemobile/status/641973313032425473/photo/1"
"641971160842825728","641968005409173504","14866363","2015-09-10 13:47:06 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@kakashiliu @kaxing @huar 嗯，同意「創辦」的用詞不太精準，我來更正一下好了。","","","",""
"641949501259812865","641948022260105216","5582712","2015-09-10 12:21:02 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@kaxing @huar 我才剛知道這網站不久，原來曾經用過可汗的內容啊～","","","",""
"641936228984557568","","","2015-09-10 11:28:18 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","蘋果發表會隔天，都忍不住想再看一次 Steve Jobs - iPhone Introduction in 2007 (Complete) https://t.co/UoBqyRNR5h","","","","https://youtu.be/9hUIxyE2Ns8"
"641929264158281728","","","2015-09-10 11:00:37 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Apple Pencil 若真的插在 iPad Pro 上充電，即使是30秒，應該都會讓人緊張到神經緊繃吧？","","","",""
"641909370800881665","","","2015-09-10 09:41:34 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","在多看買的《苹果经济学（纽约时报特辑）》，¥ 2.99。 https://t.co/xWWtOHocA8","","","","https://twitter.com/nytchinese/status/641907842455367681"
"641904058274439168","","","2015-09-10 09:20:28 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","歐～這個會紅。摸了一下 Ingress 就覺得這種根據地理位置、虛實整合的遊戲，發展潛力很巨大。 https://t.co/awMySAVO99","","","","https://twitter.com/bobchao/status/641876440376438784"
"641848225960448001","","","2015-09-10 05:38:36 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","嚴長壽先生創辦的「均一教育平台」，據補教友人的說法，高中化學講得極好。其他國、高中課程應該也都不差。完全免費，不管是偏鄉或不想補習的學生，都可自學補充或複習，真心推薦。  http://t.co/hNPhTP7ppe http://t.co/gb8BiE4XPR","","","","http://bit.ly/1O2GU6S,http://twitter.com/wastemobile/status/641848225960448001/photo/1"
"641806714594062337","","","2015-09-10 02:53:39 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","蘋果新發表會最重要的，當然是那個分期付費方案。它真正的意義是告訴我們：

用完一年的 iPhone，就只剩下半價...

#五折收啦","","","",""
"641683422876823552","","","2015-09-09 18:43:44 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","呵呵呵，沒有情色內容很難展示 3D Touch 對吧？（逃～）","","","",""
"641675031672586240","","","2015-09-09 18:10:23 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","真像酒吧老闆出來臭屁...","","","",""
"641650113698381824","","","2015-09-09 16:31:23 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","RT @yorkxin: 比起 Google Glass 我更想要電脳コイル裡面的眼鏡啊！！ 在那個連智慧型手機都還沒開始流行的年代就有這麼細膩描繪 augumented reality 的作品，而且從現在的眼光來看還是很前衛","641639440968912896","17082341","2015-09-09 15:48:58 +0000",""
"641576310507089921","","","2015-09-09 11:38:06 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Horus9527: 我一定是个天才，拼图盒子上说3-5 years，我用了1小时就拼完了 #译自英语推","641507868764708864","108018525","2015-09-09 07:06:09 +0000",""
"641572070308970496","","","2015-09-09 11:21:16 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","想了一下，國內好像只有在 PChome 用過信用卡，其他多半店取付現，否則就是用 PayPal。前幾天那個法國的 ARM 雲，註冊完因為它不收 PayPal，最後就沒買。所以對我好像有點影響...。 #就少花點錢吧","","","",""
"641566448410755072","","","2015-09-09 10:58:55 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","RT @edward_lin: ""受限法規　台灣PayPal對內無法交易款項 | 即時新聞 | 20150909 | 蘋果日報"" ( http://t.co/ckGjxiQjHm )","641562146350985218","10335892","2015-09-09 10:41:49 +0000","http://twitthat.com/qz0e5,http://twitthat.com/qz0e5"
"641495594704310272","","","2015-09-09 06:17:22 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","「嗯，這個問題已經在下一版裡完全修正了，請測試使用新版。」「下一版的基礎架構是 Docker。」Fxxk！讓不讓人活啊？","","","",""
"641442467842166784","","","2015-09-09 02:46:16 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","我是剛剛才發現，原來文鼎已經全面取消販售盒裝字型給消費者，全都改成雲端下載、租賃方案。 http://t.co/PHF9Ae3x4B","","","","http://bit.ly/1ETmwCk"
"641104319882772481","","","2015-09-08 04:22:35 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","“科幻作家山謬．R．迪蘭尼就曾說：科幻利用未來作為敘事傳統藉以呈現現在的扭曲樣態，因為一個科幻小說家不可能完全描寫現在，否則就成了寫實小說。” http://t.co/fAbFnXnQy8 via @Instapaper","","","","http://www.sl.ndhu.edu.tw/blog/32/599"
"641103612660326400","","","2015-09-08 04:19:47 +0000","<a href=""https://glose.com"" rel=""nofollow"">Glose.com</a>","“Innovation is a two-part challenge. Part one is ideas; part two is execution.” — @Glose http://t.co/nPQ0g7aqr1 http://t.co/wpOtPVywDc","","","","http://glose.com/s/4PitrBjFEw,http://twitter.com/wastemobile/status/641103612660326400/photo/1"
"641080006454566913","","","2015-09-08 02:45:58 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @XuLinh: 一个美国人上厕所忘带手纸，通过手机facebook求救；十多分钟后，20多位好心人送来手纸。一个中国人上厕所忘带手纸，发微博和朋友圈求助，十多分钟后，被点了50多个“赞”...","641053980488024064","415190075","2015-09-08 01:02:33 +0000",""
"641068622153170944","","","2015-09-08 02:00:44 +0000","<a href=""http://www.goodreads.com"" rel=""nofollow"">Goodreads</a>","5 of 5 stars to 仿生人会梦见电子羊吗? by Philip K. Dick http://t.co/ObfllNRKMW","","","","http://goodreads.com/review/show/1386115489"
"641062486314119169","","","2015-09-08 01:36:21 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","RT @flied16: 公司今天发邮件，全员禁止使用微信做工作IM沟通 。 据说公司查到了有高管账号被微信监控的情况。之前你说腾讯会用微信监控个人账号以达成商业目的，我是不会信的。但现在吧，我还真不敢打这保票。","625927621994487808","117704056","2015-07-28 07:15:48 +0000",""
"640870223181025284","640869478817927168","5522882","2015-09-07 12:52:22 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@arguskao 沒什麼，就一般正常趨勢，ES6、New engine、更好的效能...，我覺得就是破格跳個版號，吸引注意而已...XD （快逃）","","","",""
"640856414114574336","","","2015-09-07 11:57:30 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","究竟是人們恨電子書，還是出版社過於貪婪？（一樣是針對出版社與亞馬遜新約調高書價的討論） http://t.co/SNPqgLKi7b #note http://t.co/I4ePOA2y3c","","","","http://bit.ly/1irGgCV,http://twitter.com/wastemobile/status/640856414114574336/photo/1"
